,Unnamed: 0,Sort ,State,FIPS ,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover,NEVER MASK,max_risk
0,0,1,AL,01001,Autauga,Prattville,54571,1539.582,594.436,25.776,9.952,1565.358,604.388,32.536382,-86.64449,"Autauga<br>Every 10,000 People 530.0 Not using Mask<br>Max of 14.0 People can get Infected",530.0,14.0
1,1,2,AL,01003,Baldwin,Bay Minette,182265,4117.522,1589.7839999999999,"1,133.190",437.527,5250.7119999999995,2027.3110000000001,30.659218,-87.74606700000001,"Baldwin<br>Every 10,000 People 830.0 Not using Mask<br>Max of 41.0 People can get Infected",830.0,41.0
2,2,3,AL,01005,Barbour,Clayton,27457,2291.819,884.8760000000001,50.865,19.639,2342.6839999999997,904.515,31.87067,-85.405456,"Barbour<br>Every 10,000 People 670.0 Not using Mask<br>Max of 8.0 People can get Infected",670.0,8.0
3,3,4,AL,01007,Bibb,Centreville,22915,1612.481,622.582,9.289,3.587,1621.77,626.169,33.015893,-87.12714799999999,"Bibb<br>Every 10,000 People 200.0 Not using Mask<br>Max of 9.0 People can get Infected",200.0,9.0
4,4,5,AL,01009,Blount,Oneonta,57322,1669.9620000000002,644.776,15.157,5.852,1685.119,650.628,33.977447999999995,-86.567246,"Blount<br>Every 10,000 People 530.0 Not using Mask<br>Max of 58.0 People can get Infected",530.0,58.0
5,5,6,AL,01011,Bullock,Union Springs,10914,1613.057,622.805,6.057,2.338,1619.1129999999998,625.143,32.101759,-85.717261,"Bullock<br>Every 10,000 People 310.0 Not using Mask<br>Max of 0.0 People can get Infected",310.0,0.0
6,6,7,AL,01013,Butler,Greenville,20947,2011.977,776.829,2.727,1.053,2014.704,777.882,31.751666999999998,-86.681969,"Butler<br>Every 10,000 People 1020.0 Not using Mask<br>Max of 11.0 People can get Infected",1020.0,11.0
7,7,8,AL,01015,Calhoun,Anniston,118572,1569.19,605.868,16.624,6.419,1585.8139999999999,612.2869999999999,33.771706,-85.822513,"Calhoun<br>Every 10,000 People 1520.0 Not using Mask<br>Max of 161.0 People can get Infected",1520.0,161.0
8,8,9,AL,01017,Chambers,Lafayette,34215,1545.009,596.531,17.048,6.582,1562.057,603.113,32.917943,-85.391812,"Chambers<br>Every 10,000 People 1170.0 Not using Mask<br>Max of 12.0 People can get Infected",1170.0,12.0
9,9,10,AL,01019,Cherokee,Centre,25989,1434.076,553.7,119.859,46.278,1553.935,599.9780000000001,34.069515,-85.65424200000001,"Cherokee<br>Every 10,000 People 1350.0 Not using Mask<br>Max of 33.0 People can get Infected",1350.0,33.0
