FIPS ,Unnamed: 0,Sort ,State,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover,no_mask,max_risk,no_mask_100
01001,0,1,AL,Autauga,Prattville,54571,1539.582,594.436,25.776,9.952,1565.358,604.388,32.536382,-86.64449,Autauga<br>Estimated Maximum of 14 People can get Infected 29th August<br><br>Every 100 People 5 person does not use Mask,0.053,14,5
01003,1,2,AL,Baldwin,Bay Minette,182265,4117.522,1589.7839999999999,"1,133.190",437.527,5250.7119999999995,2027.3110000000001,30.659218,-87.74606700000001,Baldwin<br>Estimated Maximum of 43 People can get Infected 29th August<br><br>Every 100 People 8 person does not use Mask,0.083,43,8
01005,2,3,AL,Barbour,Clayton,27457,2291.819,884.8760000000001,50.865,19.639,2342.6839999999997,904.515,31.87067,-85.405456,Barbour<br>Estimated Maximum of 7 People can get Infected 29th August<br><br>Every 100 People 7 person does not use Mask,0.067,7,7
01007,3,4,AL,Bibb,Centreville,22915,1612.481,622.582,9.289,3.587,1621.77,626.169,33.015893,-87.12714799999999,Bibb<br>Estimated Maximum of 2 People can get Infected 29th August<br><br>Every 100 People 2 person does not use Mask,0.02,2,2
01009,4,5,AL,Blount,Oneonta,57322,1669.9620000000002,644.776,15.157,5.852,1685.119,650.628,33.977447999999995,-86.567246,Blount<br>Estimated Maximum of 7 People can get Infected 29th August<br><br>Every 100 People 5 person does not use Mask,0.053,7,5
01011,5,6,AL,Bullock,Union Springs,10914,1613.057,622.805,6.057,2.338,1619.1129999999998,625.143,32.101759,-85.717261,Bullock<br>Estimated Maximum of 4 People can get Infected 29th August<br><br>Every 100 People 3 person does not use Mask,0.031,4,3
01013,6,7,AL,Butler,Greenville,20947,2011.977,776.829,2.727,1.053,2014.704,777.882,31.751666999999998,-86.681969,Butler<br>Estimated Maximum of 1 People can get Infected 29th August<br><br>Every 100 People 10 person does not use Mask,0.102,1,10
01015,7,8,AL,Calhoun,Anniston,118572,1569.19,605.868,16.624,6.419,1585.8139999999999,612.2869999999999,33.771706,-85.822513,Calhoun<br>Estimated Maximum of 36 People can get Infected 29th August<br><br>Every 100 People 15 person does not use Mask,0.152,36,15
01017,8,9,AL,Chambers,Lafayette,34215,1545.009,596.531,17.048,6.582,1562.057,603.113,32.917943,-85.391812,Chambers<br>Estimated Maximum of 7 People can get Infected 29th August<br><br>Every 100 People 12 person does not use Mask,0.11699999999999999,7,12
01019,9,10,AL,Cherokee,Centre,25989,1434.076,553.7,119.859,46.278,1553.935,599.9780000000001,34.069515,-85.65424200000001,Cherokee<br>Estimated Maximum of 4 People can get Infected 29th August<br><br>Every 100 People 14 person does not use Mask,0.135,4,14
01021,10,11,AL,Chilton,Clanton,43643,1794.484,692.8539999999999,20.586,7.948,1815.07,700.802,32.85406,-86.726628,Chilton<br>Estimated Maximum of 34 People can get Infected 29th August<br><br>Every 100 People 6 person does not use Mask,0.06,34,6
01023,11,12,AL,Choctaw,Butler,13859,2365.955,913.5,19.059,7.359,2385.014,920.8589999999999,31.991008,-88.248887,Choctaw<br>Estimated Maximum of 0 People can get Infected 29th August<br><br>Every 100 People 5 person does not use Mask,0.049,0,5
01025,12,13,AL,Clarke,Grove Hill,25833,3207.6090000000004,1238.465,36.543,14.109,3244.152,1252.5739999999998,31.685521,-87.818624,Clarke<br>Estimated Maximum of 4 People can get Infected 29th August<br><br>Every 100 People 5 person does not use Mask,0.049,4,5
01027,13,14,AL,Clay,Ashland,13932,1564.2520000000002,603.961,5.285,2.040,1569.537,606.001,33.267809,-85.862051,Clay<br>Estimated Maximum of 12 People can get Infected 29th August<br><br>Every 100 People 15 person does not use Mask,0.14800000000000002,12,15
